player,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts
Tina Charles,CON,C,43,1222,42,260,593,.438,12,46,.261,248,547,.453,168,196,.857,62,248,74,33,19,82,89,700
Kaitlyn Chen,GSV,G,24,247,0,19,50,.380,5,15,.333,14,35,.400,5,7,.714,5,22,24,5,0,18,16,48
Sonia Citron,WAS,G,44,1415,44,223,474,.470,81,182,.445,142,292,.486,130,149,.872,29,174,104,55,17,91,94,657
Caitlin Clark,IND,G,13,404,13,72,196,.367,29,104,.279,43,92,.467,41,50,.820,1,65,115,21,7,66,35,214
Natasha Cloud,NYL,G,41,1191,41,151,349,.433,52,154,.338,99,195,.508,60,69,.870,14,151,211,49,14,77,119,414
Nia Coffey,ATL,F,44,455,2,55,147,.374,24,82,.293,31,65,.477,36,50,.720,26,114,46,10,18,30,47,170
Napheesa Collier,MIN,F,33,1065,33,275,518,.531,50,124,.403,225,394,.571,155,171,.906,62,241,105,54,50,70,78,755
Sydney Colson,IND,G,30,404,6,26,76,.342,13,47,.277,13,29,.448,6,7,.857,7,25,60,15,6,35,34,71
Zia Cooke,SEA,G,26,261,0,30,84,.357,15,38,.395,15,46,.326,15,23,.652,6,14,14,10,1,22,26,90
Kahleah Copper,PHO,G-F,28,752,28,153,361,.424,57,151,.377,96,210,.457,75,88,.852,11,81,43,30,5,62,73,438
Sophie Cunningham,IND,G,30,756,13,82,175,.469,51,118,.432,31,57,.544,42,48,.875,15,105,36,29,3,34,65,257
Damiris Dantas,IND,C-F,38,439,0,63,181,.348,25,95,.263,38,86,.442,24,28,.857,28,91,25,6,3,29,57,175
Kariata Diaby,CON,C,13,103,0,7,14,.500,0,0,,7,14,.500,11,14,.786,3,13,5,6,1,12,19,25
Skylar Diggins,SEA,G,43,1343,43,228,539,.423,62,170,.365,166,369,.450,149,189,.788,27,108,258,52,35,91,101,667
Stefanie Dolson,WAS,C,43,653,14,60,142,.423,27,75,.360,33,67,.493,14,20,.700,16,97,59,12,14,29,97,161
Emily Engstler,WAS,F,40,512,0,53,134,.396,16,63,.254,37,71,.521,24,36,.667,37,130,58,28,27,38,52,146
Dana Evans,LVA,G,44,777,1,107,275,.389,37,101,.366,70,174,.402,40,53,.755,8,47,96,17,5,37,57,291
Temi Fagbenle,GSV,C,39,925,38,125,249,.502,12,62,.194,113,187,.604,26,36,.722,70,190,61,35,23,58,119,288
Sania Feagin,LAS,F,16,77,0,10,28,.357,0,4,.000,10,24,.417,0,2,.000,3,11,4,0,6,7,16,20
Leonie Fiebich,NYL,F,37,1041,37,108,221,.489,51,120,.425,57,101,.564,54,62,.871,23,131,64,34,14,45,90,321
Rebekah Gardner,NYL,G,41,502,5,55,110,.500,20,42,.476,35,68,.515,22,27,.815,27,74,25,25,7,23,63,152
Luisa GeiselsÃ¶der,DAL,C,28,628,24,76,179,.425,31,94,.330,45,85,.529,9,11,.818,24,133,44,22,19,28,67,192
Allisha Gray,ATL,G,42,1451,42,246,546,.451,98,255,.384,148,291,.509,183,229,.799,36,223,147,45,15,74,109,773
Chelsea Gray,LVA,G,44,1368,44,169,385,.439,63,171,.368,106,214,.495,92,104,.885,25,173,239,62,28,125,89,493
Brittney Griner,ATL,C,39,810,25,156,301,.518,5,19,.263,151,282,.535,65,85,.765,36,203,33,5,47,59,75,382
Megan Gustafson,LVA,C,20,226,1,20,57,.351,13,39,.333,7,18,.389,7,15,.467,8,36,5,3,6,6,42,60
Dearica Hamby,LAS,F,44,1374,44,324,566,.572,15,54,.278,309,512,.604,148,236,.627,113,349,144,69,21,117,119,811
Isabelle Harrison,NYL,F,34,360,1,65,134,.485,4,15,.267,61,119,.513,33,43,.767,29,89,24,20,2,23,44,167
Tyasha Harris,DAL,G,5,82,0,8,18,.444,5,11,.455,3,7,.429,2,2,1.000,1,5,13,2,2,3,5,23
Bria Hartley,CON,G,38,867,32,106,293,.362,54,147,.367,52,146,.356,71,92,.772,11,75,117,29,0,69,95,337
Tiffany Hayes,GSV,G,26,700,24,99,237,.418,41,101,.406,58,136,.426,64,80,.800,18,100,77,14,4,49,58,303
Lexi Held,PHO,G,32,471,0,62,164,.378,28,91,.308,34,73,.466,18,22,.818,11,34,35,23,5,28,38,170
Natisha Hiedeman,MIN,G,44,833,0,151,307,.492,46,124,.371,105,183,.574,51,67,.761,11,82,123,32,9,54,71,399
Naz Hillmon,ATL,F,44,1122,17,139,300,.463,53,165,.321,86,135,.637,49,59,.831,69,271,105,21,19,50,74,380
Myisha Hines-Allen,DAL,F,40,882,20,112,249,.450,16,60,.267,96,189,.508,62,83,.747,58,240,116,32,18,87,101,302
Joyner Holmes,LVA,F,6,29,0,3,12,.250,1,5,.200,2,7,.286,0,0,,2,6,0,0,0,2,5,7
Mackenzie Holmes,SEA,F,10,58,0,5,7,.714,0,0,,5,7,.714,0,0,,3,9,2,5,1,0,7,10
Natasha Howard,IND,F,44,1060,44,200,362,.552,6,33,.182,194,329,.590,94,132,.712,86,290,66,52,25,85,119,500
Rhyne Howard,ATL,G,33,1151,32,187,499,.375,102,317,.322,85,182,.467,101,118,.856,31,148,153,51,27,55,96,577
Lexie Hull,IND,G,44,1189,30,118,299,.395,55,150,.367,63,149,.423,26,36,.722,62,190,79,51,7,41,121,317
Sabrina Ionescu,NYL,G,38,1194,38,230,573,.401,81,271,.299,149,302,.493,152,163,.933,30,185,216,48,16,100,63,693
Kiki Iriafen,WAS,F,44,1185,44,222,455,.488,2,11,.182,220,444,.495,138,176,.784,114,376,69,26,7,96,126,584
Rickea Jackson,LAS,F,38,1173,37,205,483,.424,65,187,.348,140,296,.473,83,98,.847,38,122,64,23,14,78,71,558
Aziaha James,DAL,G,38,673,8,106,284,.373,32,112,.286,74,172,.430,41,55,.745,36,111,59,24,7,38,46,285
Moriah Jefferson,CHI,G,5,35,1,3,8,.375,1,3,.333,2,5,.400,0,0,,0,5,9,0,0,2,3,7
Marine Johannes,NYL,G,44,803,5,100,252,.397,65,189,.344,35,63,.556,16,19,.842,13,84,70,25,12,52,46,281
Brionna Jones,ATL,F,44,1169,44,225,427,.527,12,46,.261,213,381,.559,102,132,.773,136,319,95,48,36,64,109,564
Jonquel Jones,NYL,C,31,830,31,150,306,.490,53,125,.424,97,181,.536,70,91,.769,45,251,85,15,33,65,79,423
Elizabeth Kitley,LVA,C,12,98,1,7,23,.304,0,1,.000,7,22,.318,1,2,.500,4,17,1,4,6,7,18,15
Anastasiia Kosu,MIN,F,21,80,0,13,29,.448,0,2,.000,13,27,.481,9,15,.600,10,15,5,1,4,7,9,35
LeÃ¯la Lacan,CON,G,25,665,15,104,218,.477,15,67,.224,89,151,.589,36,42,.857,17,59,92,55,4,47,83,259
Kitija Laksa,PHO,G,33,626,5,66,180,.367,38,120,.317,28,60,.467,26,32,.813,11,40,21,12,6,19,48,196
Kyra Lambert,IND,G,1,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Carla Leite,GSV,G,37,637,6,86,222,.387,13,75,.173,73,147,.497,83,99,.838,9,48,75,26,3,57,55,268
Kyara Linskens,GSV,C,4,27,0,2,5,.400,0,1,.000,2,4,.500,0,0,,1,6,1,1,3,2,7,4
Jewell Loyd,LVA,G,44,1245,25,166,427,.389,100,262,.382,66,165,.400,59,71,.831,49,142,81,52,11,53,85,491
Marina Mabrey,CON,G,35,1103,34,179,488,.367,66,244,.270,113,244,.463,80,92,.870,17,146,141,24,10,98,100,504
Natasha Mack,PHO,F-C,34,623,23,71,124,.573,0,4,.000,71,120,.592,17,36,.472,78,197,30,30,52,15,55,159
Ezi Magbegor,SEA,F-C,44,1203,44,141,286,.493,14,48,.292,127,238,.534,57,83,.687,85,272,92,30,96,43,126,353
Dominique Malonga,SEA,C,42,600,0,145,263,.551,4,18,.222,141,245,.576,29,51,.569,54,195,36,17,28,48,87,323
Rayah Marshall,CON,C-F,15,90,0,9,26,.346,0,1,.000,9,25,.360,7,12,.583,7,26,4,2,3,7,12,25
Kate Martin,GSV,G,42,687,4,86,266,.323,57,184,.310,29,82,.354,32,41,.780,20,112,40,17,4,34,48,261
Kayla McBride,MIN,G,39,1220,39,178,428,.416,103,261,.395,75,167,.449,95,105,.905,10,89,137,49,3,67,53,554
Megan McConnell,PHO,G,1,13,0,1,4,.250,1,2,.500,0,2,.000,0,0,,1,1,3,1,0,0,1,3
Teaira McCowan,DAL,C,17,219,0,36,67,.537,1,2,.500,35,65,.538,22,29,.759,30,78,10,5,12,16,24,95
Aari McDonald,IND,G,20,525,13,66,154,.429,24,78,.308,42,76,.553,40,51,.784,9,47,94,25,3,46,50,196
Emma Meesseman,NYL,F,17,440,12,91,159,.572,14,21,.667,77,138,.558,32,37,.865,22,87,54,21,13,36,26,228
Jade Melbourne,WAS,G,43,1008,12,90,225,.400,26,95,.274,64,130,.492,49,73,.671,17,80,124,26,8,72,101,255
Kelsey Mitchell,IND,G,44,1381,44,315,691,.456,111,282,.394,204,409,.499,149,190,.784,18,77,150,39,7,78,88,890
Aneesah Morrow,CON,F,41,775,23,112,299,.375,18,75,.240,94,224,.420,72,95,.758,84,282,21,32,18,45,81,314
Murjanatu Musa,PHO,C,12,122,0,16,35,.457,1,2,.500,15,33,.455,7,11,.636,18,31,7,4,2,7,17,40
Olivia Nelson-Ododa,CON,C,37,800,21,113,215,.526,1,2,.500,112,213,.526,78,111,.703,60,184,34,27,43,40,89,305
Kia Nurse,CHI,G,44,962,18,103,291,.354,61,182,.335,42,109,.385,49,62,.790,18,103,55,14,2,55,72,316
Aaliyah Nye,LVA,G-F,44,671,2,59,171,.345,37,118,.314,22,53,.415,14,17,.824,15,66,24,13,9,27,57,169
Arike Ogunbowale,DAL,G,29,966,29,147,404,.364,48,158,.304,99,246,.402,108,116,.931,10,72,120,39,7,60,74,450
Nneka Ogwumike,SEA,F,44,1359,44,320,617,.519,66,180,.367,254,437,.581,97,118,.822,59,309,99,50,18,85,83,803
Amy Okonkwo,DAL,F,8,157,1,30,61,.492,10,30,.333,20,31,.645,18,20,.900,7,25,6,11,1,7,11,88
Lucy Olsen,WAS,G,41,508,0,66,159,.415,19,70,.271,47,89,.528,14,17,.824,11,48,49,15,5,21,45,165
Michaela Onyenwere,CHI,F,42,711,22,89,211,.422,24,68,.353,65,143,.455,43,51,.843,17,69,48,16,4,56,75,245
Te-Hina PaoPao,ATL,G,43,720,15,96,218,.440,51,132,.386,45,86,.523,7,13,.538,10,69,105,20,9,44,48,250
Cheyenne Parker-Tyus,LVA,F,2,14,0,5,8,.625,1,2,.500,4,6,.667,5,6,.833,0,2,0,0,0,1,2,16
Robyn Parks,CON,F,6,63,0,1,5,.200,0,4,.000,1,1,1.000,0,0,,1,9,2,2,0,1,7,2
Haley Peters,CON,F-G,33,380,2,25,82,.305,8,39,.205,17,43,.395,10,13,.769,25,74,25,11,3,22,50,68
Ajae Petty,DAL,F,2,6,0,0,0,,0,0,,0,0,,0,0,,0,1,0,0,0,0,1,0
Kelsey Plum,LAS,G,43,1508,43,261,618,.422,99,279,.355,162,339,.478,218,244,.893,10,132,247,53,4,131,117,839
Alexis Prince,PHO,F,1,22,0,1,3,.333,0,1,.000,1,2,.500,0,0,,0,8,1,0,0,3,1,2
JJ Quinerly,DAL,G,34,539,13,80,188,.426,21,54,.389,59,134,.440,39,45,.867,18,63,78,29,7,52,70,220
Angel Reese,CHI,F,30,947,30,153,334,.458,4,22,.182,149,312,.478,130,172,.756,123,377,110,44,20,118,103,440
Saniya Rivers,CON,G,42,1097,25,142,349,.407,43,126,.341,99,223,.444,44,59,.746,29,118,113,62,38,62,70,371
Iliana Rupert,GSV,C,21,486,11,67,153,.438,46,104,.442,21,49,.429,15,16,.938,21,81,33,13,12,20,48,195
Mercedes Russell,LAS,C,20,163,0,12,27,.444,0,0,,12,27,.444,10,14,.714,10,24,12,5,4,7,17,34
Nyara Sabally,NYL,F,17,305,10,37,76,.487,1,7,.143,36,69,.522,17,25,.680,27,77,13,9,17,16,37,92
Satou Sabally,PHO,F,39,1039,39,208,515,.404,67,209,.321,141,306,.461,153,185,.827,54,231,98,49,13,77,115,636
Janelle SalaÃ¼n,GSV,F,36,973,33,147,362,.406,63,172,.366,84,190,.442,50,62,.806,32,183,43,22,3,53,70,407
Karlie Samuelson,MIN,G,16,228,4,14,42,.333,12,34,.353,2,8,.250,13,14,.929,3,20,17,6,1,11,26,53
Madison Scott,WAS,G-F,9,47,0,5,11,.455,0,1,.000,5,10,.500,4,4,1.000,1,1,2,2,0,1,8,14
Jessica Shepard,MIN,F,40,835,12,132,207,.638,0,1,.000,132,206,.641,56,103,.544,92,293,104,19,4,58,44,320
Maddy Siegrist,DAL,F,26,702,15,132,269,.491,26,81,.321,106,188,.564,40,58,.690,52,111,21,19,15,14,50,330
Kamiah Smalls,ATL,G,3,3,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Alanna Smith,MIN,F,42,1114,42,160,330,.485,53,161,.329,107,169,.633,31,65,.477,65,214,121,55,80,65,116,404
Azura Stevens,LAS,F-C,44,1249,44,204,427,.478,74,194,.381,130,233,.558,79,100,.790,74,352,94,54,47,64,98,561
Breanna Stewart,NYL,F,31,948,31,188,408,.461,21,87,.241,167,321,.520,169,202,.837,31,203,108,42,42,60,59,566
Kiah Stokes,LVA,C,40,514,18,18,51,.353,3,23,.130,15,28,.536,5,8,.625,29,144,17,17,14,16,47,44
Serena Sundell,DAL,G,3,22,0,0,1,.000,0,1,.000,0,0,,0,0,,0,1,0,0,0,2,4,0
Sug Sutton,WAS,G,43,1122,43,119,282,.422,42,119,.353,77,163,.472,37,48,.771,8,77,166,33,3,83,58,317
Camryn Taylor,MIN,F,6,23,0,1,7,.143,1,3,.333,0,4,.000,0,2,.000,2,6,1,0,0,3,4,3
Taylor Thierry,ATL,G-F,17,36,0,2,11,.182,1,3,.333,1,8,.125,1,4,.250,2,6,2,4,0,1,1,6
Alyssa Thomas,PHO,F,39,1221,39,241,453,.532,0,6,.000,241,447,.539,117,169,.692,64,344,357,62,17,135,82,599
Kayla Thornton,GSV,F,22,662,22,100,276,.362,40,142,.282,60,134,.448,68,82,.829,40,154,33,29,5,36,52,308
Makayla Timpson,IND,F-C,31,219,0,32,57,.561,0,0,,32,57,.561,18,27,.667,18,57,1,13,8,8,24,82
Mamignan TourÃ©,CON,G,18,147,0,14,39,.359,8,22,.364,6,17,.353,0,0,,4,7,9,7,0,8,19,36
Brianna Turner,IND,F-C,27,233,0,13,32,.406,0,1,.000,13,31,.419,4,8,.500,18,50,17,2,8,9,23,30
Maria Kliundikova,MIN,F,34,373,1,64,128,.500,8,25,.320,56,103,.544,12,21,.571,43,102,19,25,26,23,48,148
Courtney Vandersloot,CHI,G,7,191,7,29,66,.439,5,23,.217,24,43,.558,11,13,.846,2,22,37,11,2,17,13,74
Hailey Van Lith,CHI,G,29,361,0,37,109,.339,5,31,.161,32,78,.410,23,31,.742,4,31,45,12,4,36,22,102
Shatori Walker-Kimbrough,ATL,G,41,354,1,26,63,.413,11,31,.355,15,32,.469,8,11,.727,3,37,22,10,11,15,24,71
Kathryn Westbeld,PHO,F,43,792,24,77,215,.358,42,131,.321,35,84,.417,25,32,.781,30,109,39,36,24,24,66,221
Maddy Westbeld,CHI,F,26,354,1,38,105,.362,17,43,.395,21,62,.339,14,16,.875,21,62,23,13,7,16,42,107
Erica Wheeler,SEA,G,44,1126,24,168,420,.400,76,204,.373,92,216,.426,43,50,.860,17,119,144,56,9,68,112,455
Sami Whitcomb,PHO,G,43,1027,20,129,335,.385,86,238,.361,43,97,.443,46,54,.852,16,113,108,33,7,67,90,390
Christyn Williams,DAL,G,4,45,0,6,16,.375,1,4,.250,5,12,.417,4,6,.667,2,4,3,0,0,1,4,17
Courtney Williams,MIN,G,44,1260,44,248,580,.428,58,149,.389,190,431,.441,45,53,.849,23,216,271,55,14,101,86,599
Elizabeth Williams,CHI,C-F,43,906,15,157,327,.480,0,0,,157,327,.480,50,81,.617,79,223,78,31,39,56,62,364
Gabby Williams,SEA,F,44,1391,44,198,469,.422,50,164,.305,148,305,.485,64,75,.853,24,189,185,99,21,84,64,510
Kiana Williams,PHO,G,11,107,0,17,40,.425,9,26,.346,8,14,.571,2,4,.500,0,11,10,3,0,6,6,45
A'ja Wilson,LVA,C,40,1247,40,332,658,.505,25,59,.424,307,599,.513,248,290,.855,91,407,122,64,92,87,75,937
Jackie Young,LVA,G,44,1336,44,260,547,.475,80,223,.359,180,324,.556,127,142,.894,52,196,226,57,18,98,106,727
Cecilia Zandalasini,GSV,F,19,450,10,67,150,.447,37,91,.407,30,59,.508,28,32,.875,5,56,32,18,4,25,33,199
Grace Berger,TOT,G,19,418,13,26,89,.292,2,23,.087,24,66,.364,10,15,.667,12,63,58,14,7,21,37,64
Chloe Bibby,TOT,F,14,154,0,21,55,.382,17,42,.405,4,13,.308,8,9,.889,5,25,7,8,1,7,13,67
DeWanna Bonner,TOT,F-G,33,778,4,105,257,.409,40,120,.333,65,137,.474,75,86,.872,29,137,38,28,9,28,43,325
DiJonai Carrington,TOT,G-F,31,680,14,107,277,.386,23,72,.319,84,205,.410,66,82,.805,48,124,48,34,13,59,78,303
Kaila Charles,TOT,G-F,35,616,12,79,188,.420,25,72,.347,54,116,.466,40,49,.816,46,149,35,28,7,38,69,223
Alysha Clark,TOT,F,42,828,15,59,159,.371,26,96,.271,33,63,.524,19,26,.731,16,117,51,26,4,22,81,163
Marquesha Davis,TOT,G,11,52,0,2,10,.200,0,4,.000,2,6,.333,6,7,.857,3,7,1,0,2,6,3,10
Aaliyah Edwards,TOT,F,36,534,0,69,154,.448,0,9,.000,69,145,.476,56,87,.644,47,132,20,23,14,41,56,194
Bree Hall,TOT,G,4,17,0,1,5,.200,0,2,.000,1,3,.333,1,3,.333,0,3,0,0,0,3,4,3
Haley Jones,TOT,F-G,28,594,16,85,188,.452,12,39,.308,73,149,.490,22,35,.629,18,98,64,21,22,48,64,204
Liatu King,TOT,F,14,136,0,13,27,.481,1,6,.167,12,21,.571,11,15,.733,12,29,4,2,0,11,14,38
Sika KonÃ©,TOT,F,19,85,0,7,22,.318,1,5,.200,6,17,.353,12,13,.923,3,19,6,0,0,6,12,27
Diamond Miller,TOT,F,40,434,1,54,134,.403,17,51,.333,37,83,.446,35,46,.761,11,52,31,12,7,34,65,160
Tiffany Mitchell,TOT,G,39,510,3,40,102,.392,11,30,.367,29,72,.403,35,47,.745,11,42,12,14,8,24,52,126
Shey Peddy,TOT,G,15,265,5,27,55,.491,16,35,.457,11,20,.550,7,9,.778,7,25,31,6,0,13,20,77
Alissa Pili,TOT,F,19,99,0,13,28,.464,4,12,.333,9,16,.563,13,15,.867,4,19,3,2,1,8,13,43
Aerial Powers,TOT,G,10,167,0,27,65,.415,7,19,.368,20,46,.435,13,19,.684,10,39,20,8,1,11,19,74
Jacy Sheldon,TOT,G,30,708,17,83,178,.466,36,91,.396,47,87,.540,22,25,.880,22,57,56,27,6,31,72,224
Jaylyn Sherrod,TOT,G,26,142,0,9,28,.321,3,13,.231,6,15,.400,9,13,.692,2,15,12,11,0,12,19,30
Odyssey Sims,TOT,G,24,671,21,89,215,.414,21,64,.328,68,151,.450,43,55,.782,10,57,90,17,1,33,48,242
NaLyssa Smith,TOT,F,45,956,41,134,267,.502,8,27,.296,126,240,.525,66,108,.611,74,231,33,25,29,51,131,342
Brittney Sykes,TOT,G,39,1194,38,174,457,.381,31,102,.304,143,355,.403,171,219,.781,20,123,155,48,14,98,99,550
Stephanie Talbot,TOT,F,38,541,10,39,104,.375,16,56,.286,23,48,.479,18,28,.643,26,101,66,19,6,40,43,112
Sevgi Uzun,TOT,G,25,439,3,31,95,.326,5,30,.167,26,65,.400,11,16,.688,1,31,63,13,3,43,37,78
Julie Vanloo,TOT,G,35,449,2,33,111,.297,25,92,.272,8,19,.421,8,10,.800,4,32,68,15,0,49,45,99
Li Yueru,TOT,C,31,519,12,62,153,.405,20,55,.364,42,98,.429,43,50,.860,52,141,29,9,9,30,57,187
